Hechos Intradía,,,,,,
,,,,,,
"Razón Social: TV AZTECA, S.A.B. DE C.V.",,,,,,
Ticker: AZTECA,,,,,,
Serie: CPO,,,,,,
Fecha Inicial: 6/30/2014,,,,,,
Fecha Final: 7/5/2014,,,,,,
,,,,,,
Hechos,,,,,,
,,,,,,
FECHA,HORA,COMPRADOR,VENDEDOR,VOLUMEN,PRECIO,IMPORTE
6/30/2014,2:41:00 PM,ACTINVER CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,200,7.34,1468
6/30/2014,2:41:00 PM,ACTINVER CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,200,7.34,1468
6/30/2014,2:41:00 PM,ACTINVER CASA DE BOLSA,CITIBANK,22926,7.34,168276.84
6/30/2014,2:41:00 PM,ACTINVER CASA DE BOLSA,CITIBANK,13650,7.34,100191
6/30/2014,2:41:00 PM,ACTINVER CASA DE BOLSA,CITIBANK,13000,7.34,95420
6/30/2014,2:41:00 PM,MERRILL LYNCH,CITIBANK,400,7.34,2936
6/30/2014,2:42:00 PM,MERRILL LYNCH,GRUPO BURSATIL MEXICANO,476,7.34,3493.84
6/30/2014,2:42:00 PM,VALORES FINAMEX,GRUPO BURSATIL MEXICANO,651,7.32,4765.32
6/30/2014,2:42:00 PM,MORGAN STANLEY MEXICO CAS,MORGAN STANLEY MEXICO CAS,200,7.32,1464
6/30/2014,2:42:00 PM,MORGAN STANLEY MEXICO CAS,MORGAN STANLEY MEXICO CAS,200,7.32,1464
6/30/2014,2:42:00 PM,MORGAN STANLEY MEXICO CAS,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:42:00 PM,MERRILL LYNCH,GRUPO BURSATIL MEXICANO,133,7.32,973.56
6/30/2014,2:42:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.32,1464
6/30/2014,2:42:00 PM,MORGAN STANLEY MEXICO CAS,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:42:00 PM,GRUPO BURSATIL MEXICANO,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:42:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.32,1464
6/30/2014,2:42:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,105,7.32,768.6
6/30/2014,2:42:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:42:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:42:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,105,7.32,768.6
6/30/2014,2:42:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.32,1464
6/30/2014,2:42:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:43:00 PM,GRUPO BURSATIL MEXICANO,MORGAN STANLEY MEXICO CAS,100,7.31,731
6/30/2014,2:43:00 PM,UBS CASA DE BOLSA S.A.,MORGAN STANLEY MEXICO CAS,200,7.31,1462
6/30/2014,2:43:00 PM,UBS CASA DE BOLSA S.A.,MORGAN STANLEY MEXICO CAS,100,7.31,731
6/30/2014,2:43:00 PM,UBS CASA DE BOLSA S.A.,MORGAN STANLEY MEXICO CAS,200,7.31,1462
6/30/2014,2:43:00 PM,UBS CASA DE BOLSA S.A.,MORGAN STANLEY MEXICO CAS,100,7.31,731
6/30/2014,2:43:00 PM,UBS CASA DE BOLSA S.A.,MORGAN STANLEY MEXICO CAS,100,7.31,731
6/30/2014,2:43:00 PM,UBS CASA DE BOLSA S.A.,MORGAN STANLEY MEXICO CAS,200,7.31,1462
6/30/2014,2:43:00 PM,UBS CASA DE BOLSA S.A.,MORGAN STANLEY MEXICO CAS,100,7.31,731
6/30/2014,2:43:00 PM,UBS CASA DE BOLSA S.A.,MORGAN STANLEY MEXICO CAS,100,7.31,731
6/30/2014,2:43:00 PM,UBS CASA DE BOLSA S.A.,MORGAN STANLEY MEXICO CAS,200,7.31,1462
6/30/2014,2:43:00 PM,UBS CASA DE BOLSA S.A.,MORGAN STANLEY MEXICO CAS,100,7.31,731
6/30/2014,2:44:00 PM,UBS CASA DE BOLSA S.A.,MORGAN STANLEY MEXICO CAS,200,7.31,1462
6/30/2014,2:44:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:44:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,1200,7.32,8784
6/30/2014,2:44:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:44:00 PM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:44:00 PM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:44:00 PM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:44:00 PM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,200,7.32,1464
6/30/2014,2:44:00 PM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,148,7.32,1083.36
6/30/2014,2:44:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:44:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:44:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.32,1464
6/30/2014,2:44:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,300,7.32,2196
6/30/2014,2:45:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:45:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.32,1464
6/30/2014,2:45:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.32,1464
6/30/2014,2:45:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:45:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:45:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.32,1464
6/30/2014,2:45:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,148,7.32,1083.36
6/30/2014,2:45:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:45:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.32,1464
6/30/2014,2:45:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,148,7.32,1083.36
6/30/2014,2:45:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:45:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:45:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,148,7.32,1083.36
6/30/2014,2:45:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.32,1464
6/30/2014,2:45:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:46:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.32,1464
6/30/2014,2:46:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,148,7.32,1083.36
6/30/2014,2:46:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:46:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:46:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,148,7.32,1083.36
6/30/2014,2:46:00 PM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,200,7.32,1464
6/30/2014,2:46:00 PM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:46:00 PM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,300,7.32,2196
6/30/2014,2:46:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,152,7.32,1112.64
6/30/2014,2:46:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:46:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:46:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,152,7.32,1112.64
6/30/2014,2:46:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,300,7.32,2196
6/30/2014,2:47:00 PM,UBS CASA DE BOLSA S.A.,MORGAN STANLEY MEXICO CAS,100,7.31,731
6/30/2014,2:47:00 PM,UBS CASA DE BOLSA S.A.,MORGAN STANLEY MEXICO CAS,200,7.31,1462
6/30/2014,2:47:00 PM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,200,7.31,1462
6/30/2014,2:47:00 PM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,300,7.31,2193
6/30/2014,2:47:00 PM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,100,7.31,731
6/30/2014,2:47:00 PM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,400,7.31,2924
6/30/2014,2:47:00 PM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,100,7.31,731
6/30/2014,2:47:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,400,7.32,2928
6/30/2014,2:47:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.31,1462
6/30/2014,2:47:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.31,731
6/30/2014,2:47:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,400,7.31,2924
6/30/2014,2:47:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.31,731
6/30/2014,2:47:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,300,7.31,2193
6/30/2014,2:48:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.31,731
6/30/2014,2:48:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,400,7.31,2924
6/30/2014,2:48:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.31,731
6/30/2014,2:48:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.31,1462
6/30/2014,2:48:00 PM,GRUPO BURSATIL MEXICANO,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:48:00 PM,GRUPO BURSATIL MEXICANO,MORGAN STANLEY MEXICO CAS,134,7.32,980.88
6/30/2014,2:48:00 PM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,266,7.32,1947.12
6/30/2014,2:48:00 PM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:48:00 PM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,300,7.32,2196
6/30/2014,2:48:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,400,7.32,2928
6/30/2014,2:48:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,300,7.32,2196
6/30/2014,2:48:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,400,7.32,2928
6/30/2014,2:48:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:48:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.32,1464
6/30/2014,2:48:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.32,1464
6/30/2014,2:49:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:49:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,300,7.32,2196
6/30/2014,2:49:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.32,1464
6/30/2014,2:49:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:49:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:49:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,300,7.31,2193
6/30/2014,2:49:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,100,7.31,731
6/30/2014,2:49:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,400,7.31,2924
6/30/2014,2:49:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,100,7.31,731
6/30/2014,2:49:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,200,7.31,1462
6/30/2014,2:49:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,100,7.31,731
6/30/2014,2:49:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,400,7.31,2924
6/30/2014,2:49:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,100,7.31,731
6/30/2014,2:49:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,300,7.31,2193
6/30/2014,2:49:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,100,7.31,731
6/30/2014,2:49:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,400,7.31,2924
6/30/2014,2:49:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,100,7.31,731
6/30/2014,2:49:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,200,7.31,1462
6/30/2014,2:50:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,100,7.31,731
6/30/2014,2:50:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,400,7.31,2924
6/30/2014,2:50:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,300,7.31,2193
6/30/2014,2:50:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:50:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,400,7.32,2928
6/30/2014,2:50:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:50:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,700,7.32,5124
6/30/2014,2:50:00 PM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,600,7.32,4392
6/30/2014,2:50:00 PM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,200,7.32,1464
6/30/2014,2:50:00 PM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,200,7.32,1464
6/30/2014,2:50:00 PM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,400,7.32,2928
6/30/2014,2:50:00 PM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:50:00 PM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,200,7.32,1464
6/30/2014,2:50:00 PM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,300,7.32,2196
6/30/2014,2:50:00 PM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:50:00 PM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,400,7.32,2928
6/30/2014,2:50:00 PM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:50:00 PM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,300,7.32,2196
6/30/2014,2:51:00 PM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:51:00 PM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,400,7.32,2928
6/30/2014,2:51:00 PM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:51:00 PM,MERRILL LYNCH,UBS CASA DE BOLSA S.A.,400,7.33,2932
6/30/2014,2:51:00 PM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,200,7.32,1464
6/30/2014,2:51:00 PM,MERRILL LYNCH,UBS CASA DE BOLSA S.A.,700,7.33,5131
6/30/2014,2:51:00 PM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:51:00 PM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,500,7.32,3660
6/30/2014,2:51:00 PM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:51:00 PM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:51:00 PM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:51:00 PM,GRUPO BURSATIL MEXICANO,MORGAN STANLEY MEXICO CAS,121,7.32,885.72
6/30/2014,2:51:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:51:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,400,7.32,2928
6/30/2014,2:51:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:51:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,300,7.32,2196
6/30/2014,2:51:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,300,7.32,2196
6/30/2014,2:51:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:51:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,400,7.32,2928
6/30/2014,2:51:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:51:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:51:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.32,1464
6/30/2014,2:51:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,300,7.32,2196
6/30/2014,2:52:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,100,7.31,731
6/30/2014,2:52:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,400,7.31,2924
6/30/2014,2:52:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,100,7.31,731
6/30/2014,2:52:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,200,7.31,1462
6/30/2014,2:52:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,100,7.31,731
6/30/2014,2:52:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,400,7.31,2924
6/30/2014,2:52:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,100,7.31,731
6/30/2014,2:52:00 PM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,300,7.31,2193
6/30/2014,2:52:00 PM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,100,7.31,731
6/30/2014,2:52:00 PM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,200,7.31,1462
6/30/2014,2:52:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.31,1462
6/30/2014,2:52:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.31,731
6/30/2014,2:52:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.31,1462
6/30/2014,2:52:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.31,731
6/30/2014,2:52:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,300,7.31,2193
6/30/2014,2:52:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.31,731
6/30/2014,2:52:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.31,731
6/30/2014,2:52:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.31,1462
6/30/2014,2:52:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.31,731
6/30/2014,2:53:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.31,731
6/30/2014,2:53:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.31,1462
6/30/2014,2:53:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.31,1462
6/30/2014,2:53:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.31,731
6/30/2014,2:53:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.31,1462
6/30/2014,2:53:00 PM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,100,7.31,731
6/30/2014,2:53:00 PM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,100,7.31,731
6/30/2014,2:53:00 PM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,400,7.31,2924
6/30/2014,2:53:00 PM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,100,7.31,731
6/30/2014,2:53:00 PM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,300,7.31,2193
6/30/2014,2:53:00 PM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,100,7.31,731
6/30/2014,2:53:00 PM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,500,7.31,3655
6/30/2014,2:53:00 PM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,100,7.31,731
6/30/2014,2:53:00 PM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,300,7.31,2193
6/30/2014,2:53:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:53:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,400,7.32,2928
6/30/2014,2:53:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.31,731
6/30/2014,2:53:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.31,1462
6/30/2014,2:54:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.31,731
6/30/2014,2:54:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,300,7.31,2193
6/30/2014,2:54:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,100,7.3,730
6/30/2014,2:54:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,100,7.3,730
6/30/2014,2:54:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,400,7.31,2924
6/30/2014,2:54:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.31,1462
6/30/2014,2:54:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.31,731
6/30/2014,2:54:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,500,7.3,3650
6/30/2014,2:54:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,200,7.3,1460
6/30/2014,2:54:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,400,7.31,2924
6/30/2014,2:54:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,500,7.3,3650
6/30/2014,2:54:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,200,7.3,1460
6/30/2014,2:54:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,400,7.31,2924
6/30/2014,2:54:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,400,7.31,2924
6/30/2014,2:54:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,200,7.3,1460
6/30/2014,2:54:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,400,7.3,2920
6/30/2014,2:55:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,400,7.31,2924
6/30/2014,2:55:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,100,7.3,730
6/30/2014,2:55:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,400,7.3,2920
6/30/2014,2:55:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,400,7.31,2924
6/30/2014,2:55:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,500,7.3,3650
6/30/2014,2:55:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,600,7.3,4380
6/30/2014,2:55:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,500,7.3,3650
6/30/2014,2:55:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,500,7.31,3655
6/30/2014,2:55:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,600,7.3,4380
6/30/2014,2:55:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,200,7.3,1460
6/30/2014,2:55:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,400,7.3,2920
6/30/2014,2:55:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.31,731
6/30/2014,2:55:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.31,731
6/30/2014,2:55:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.31,1462
6/30/2014,2:55:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,300,7.3,2190
6/30/2014,2:55:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,400,7.3,2920
6/30/2014,2:56:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,500,7.33,3665
6/30/2014,2:56:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,400,7.32,2928
6/30/2014,2:56:00 PM,UBS CASA DE BOLSA S.A.,MORGAN STANLEY MEXICO CAS,116,7.32,849.12
6/30/2014,2:56:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,400,7.31,2924
6/30/2014,2:56:00 PM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,600,7.31,4386
6/30/2014,2:56:00 PM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,400,7.31,2924
6/30/2014,2:56:00 PM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,1000,7.31,7310
6/30/2014,2:56:00 PM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,600,7.31,4386
6/30/2014,2:56:00 PM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,100,7.31,731
6/30/2014,2:56:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,400,7.32,2928
6/30/2014,2:56:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,400,7.3,2920
6/30/2014,2:56:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,300,7.3,2190
6/30/2014,2:56:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,100,7.3,730
