Hechos Intradía,,,,,,
,,,,,,
"Razón Social: TV AZTECA, S.A.B. DE C.V.",,,,,,
Ticker: AZTECA,,,,,,
Serie: CPO,,,,,,
Fecha Inicial: 6/30/2014,,,,,,
Fecha Final: 7/5/2014,,,,,,
,,,,,,
Hechos,,,,,,
,,,,,,
FECHA,HORA,COMPRADOR,VENDEDOR,VOLUMEN,PRECIO,IMPORTE
6/30/2014,2:12:00 PM,GRUPO BURSATIL MEXICANO,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:12:00 PM,MERRILL LYNCH,DEUTSCHE SECURITIES,600,7.33,4398
6/30/2014,2:12:00 PM,MERRILL LYNCH,C.B. VE POR MAS,2900,7.32,21228
6/30/2014,2:13:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:13:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:13:00 PM,MORGAN STANLEY MEXICO CAS,DEUTSCHE SECURITIES,100,7.33,733
6/30/2014,2:14:00 PM,MERRILL LYNCH,DEUTSCHE SECURITIES,600,7.33,4398
6/30/2014,2:14:00 PM,MERRILL LYNCH,CITIBANK,400,7.32,2928
6/30/2014,2:14:00 PM,MERRILL LYNCH,CITIBANK,472,7.32,3455.04
6/30/2014,2:14:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:14:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:14:00 PM,MERRILL LYNCH,CITIBANK,400,7.32,2928
6/30/2014,2:14:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:14:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:15:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:15:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:15:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:15:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:16:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
